age,default,balance,housing,loan,day,duration,campaign,pdays,previous,y,divorced,married,single,primary,secondary,tertiary,cellular,telephone,unknown,apr,aug,dec,feb,jan,jul,jun,mar,may,nov,oct,sep
31,no,0,yes,no,5,143,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
39,no,47,yes,no,5,181,1,-1,0,no,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
40,no,1225,yes,no,5,558,5,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
54,no,184,no,no,5,673,2,-1,0,yes,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
35,no,434,no,no,5,138,1,-1,0,no,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
53,no,1151,yes,no,5,412,1,-1,0,no,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
51,no,1161,yes,no,5,717,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
35,no,787,yes,no,5,683,2,-1,0,no,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
35,no,59,yes,no,5,1077,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
58,no,235,yes,no,5,167,1,-1,0,no,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
31,no,0,yes,no,5,562,1,-1,0,no,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
51,no,2127,yes,no,5,172,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
34,no,243,yes,no,5,291,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
42,no,56,yes,no,5,215,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
57,no,294,yes,no,5,746,2,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
46,no,349,yes,yes,5,127,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
43,no,434,yes,no,5,117,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
42,no,742,yes,no,5,58,3,-1,0,no,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
42,no,0,yes,yes,5,562,2,-1,0,yes,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
40,no,0,yes,no,5,962,1,-1,0,no,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
56,no,155,no,no,5,118,3,-1,0,no,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
40,no,672,yes,no,5,164,2,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
42,no,28,yes,no,5,126,3,-1,0,no,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50,no,1234,yes,no,5,205,2,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
56,no,353,yes,no,5,106,2,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
46,no,-358,yes,no,5,358,2,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
48,no,161,yes,no,5,224,3,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
34,no,560,yes,no,5,198,3,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
31,no,12,yes,no,5,208,2,-1,0,no,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
38,no,308,yes,no,6,102,1,-1,0,no,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
37,no,1293,no,no,6,652,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
38,no,757,yes,no,6,133,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
49,no,245,yes,yes,6,318,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
46,no,1927,yes,no,6,241,3,-1,0,no,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
38,no,284,yes,no,6,483,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
46,no,1660,yes,no,6,259,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
43,no,0,yes,no,6,245,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
52,no,55,yes,yes,6,186,1,-1,0,no,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
42,no,1680,yes,no,6,765,1,-1,0,no,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
35,no,530,yes,no,6,149,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
32,no,310,yes,no,6,144,1,-1,0,no,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
37,no,231,yes,yes,6,451,2,-1,0,no,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
34,no,270,yes,yes,6,159,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
43,no,-509,yes,no,6,124,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
41,no,767,yes,yes,6,204,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
43,no,0,no,no,6,187,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
60,yes,15,no,no,6,80,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
55,no,387,yes,no,6,918,1,-1,0,yes,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
44,no,148,yes,no,6,211,1,-1,0,no,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
52,no,484,yes,no,6,128,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
34,no,0,yes,no,6,150,1,-1,0,no,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
36,no,107,yes,no,6,146,1,-1,0,no,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
30,no,46,yes,no,6,114,2,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
56,no,778,yes,no,6,149,2,-1,0,no,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
55,no,840,yes,no,6,310,2,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
37,no,358,yes,no,6,390,3,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
30,no,0,yes,no,6,369,1,-1,0,no,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
36,no,-15,yes,no,6,341,3,-1,0,no,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
55,no,141,yes,no,6,262,2,-1,0,no,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
28,no,89,no,no,6,174,2,-1,0,no,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
38,no,384,yes,no,6,1906,3,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
29,no,405,yes,no,6,65,1,-1,0,no,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
55,no,255,yes,no,6,285,1,-1,0,no,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
39,no,2877,yes,no,6,278,1,-1,0,no,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
31,no,60,yes,yes,6,389,1,-1,0,no,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
39,no,2226,yes,no,6,158,1,-1,0,no,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
40,no,109,yes,no,6,147,2,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
30,no,484,yes,no,6,703,1,-1,0,yes,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
52,no,-184,yes,yes,6,392,2,-1,0,no,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
44,no,1,yes,no,6,235,4,-1,0,no,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
29,no,209,yes,no,6,311,2,-1,0,no,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
38,no,221,yes,no,6,211,2,-1,0,no,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
29,no,-150,yes,no,6,328,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
41,no,140,yes,no,6,311,3,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
49,no,1,yes,no,6,260,3,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
31,no,783,yes,no,6,320,1,-1,0,no,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
40,no,105,yes,no,6,189,2,-1,0,no,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
40,no,242,yes,no,6,221,2,-1,0,no,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
39,no,1205,yes,no,6,118,2,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
36,no,368,yes,yes,6,1597,2,-1,0,yes,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
44,no,1631,yes,no,6,346,2,-1,0,no,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
24,no,77,yes,yes,6,390,2,-1,0,no,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
43,no,0,yes,no,6,125,2,-1,0,no,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
43,no,-497,yes,no,6,234,2,-1,0,no,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
40,no,369,no,no,6,79,2,-1,0,no,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
31,no,0,yes,yes,6,144,2,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
40,no,0,yes,no,6,121,2,-1,0,no,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
53,no,303,yes,no,6,593,2,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
39,no,607,yes,no,6,99,2,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
28,no,251,yes,no,6,178,2,-1,0,no,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
60,no,364,yes,no,6,631,2,-1,0,no,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
34,no,105,yes,no,6,314,3,-1,0,no,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
31,no,281,yes,no,6,206,2,-1,0,no,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
39,no,20,yes,no,7,124,2,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
55,no,92,yes,no,7,118,3,-1,0,no,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
47,no,1001,yes,no,7,201,4,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
42,no,221,yes,no,7,720,2,-1,0,no,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
56,no,0,yes,no,7,333,4,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
37,no,238,yes,no,7,200,2,-1,0,no,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
35,no,0,no,no,7,326,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
35,yes,0,yes,no,7,292,1,-1,0,no,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
45,no,-139,yes,no,7,152,3,-1,0,no,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
37,no,259,yes,no,7,130,1,-1,0,no,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
36,no,0,yes,no,7,133,2,-1,0,no,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
31,no,1415,yes,no,7,485,1,-1,0,no,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
31,no,147,yes,no,7,374,1,-1,0,no,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
47,no,387,yes,no,7,122,2,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
40,no,563,yes,no,7,615,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
33,no,165,no,no,7,111,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
26,no,24,yes,no,7,180,1,-1,0,no,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
52,no,273,no,no,7,227,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
32,no,0,yes,no,7,298,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
38,no,8,yes,no,7,125,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
32,no,233,yes,no,7,193,1,-1,0,no,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
31,no,309,yes,yes,7,294,1,-1,0,no,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
40,no,2100,yes,yes,7,164,2,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
30,no,112,yes,no,7,245,1,-1,0,no,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
52,no,-98,yes,no,7,423,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
54,no,-932,yes,no,7,799,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
26,no,0,yes,no,7,180,2,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
31,no,2019,no,no,7,380,2,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
33,no,198,yes,no,7,121,2,-1,0,no,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
37,no,115,no,no,7,36,1,-1,0,no,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
52,no,270,yes,no,7,294,2,-1,0,no,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
33,no,436,yes,no,7,48,1,-1,0,no,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
38,no,-1,yes,no,7,72,1,-1,0,no,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
49,no,1377,yes,no,7,1101,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
34,no,267,yes,no,7,362,1,-1,0,no,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
39,no,573,yes,no,7,329,1,-1,0,no,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
39,no,367,yes,no,7,106,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
31,no,19,yes,no,7,241,2,-1,0,no,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
40,no,4,yes,yes,7,263,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
23,no,2605,yes,no,7,278,6,-1,0,no,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50,no,1557,yes,no,7,263,6,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
36,no,-20,yes,no,7,353,3,-1,0,no,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
44,no,-171,yes,no,7,441,2,-1,0,no,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
47,no,438,yes,no,7,46,3,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
58,no,786,yes,no,7,165,3,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
39,no,29,yes,no,7,214,2,-1,0,no,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
44,no,420,yes,no,7,110,2,-1,0,no,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
49,no,114,yes,no,7,99,2,-1,0,no,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
39,no,-33,yes,no,7,62,5,-1,0,no,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
43,no,526,yes,no,7,79,4,-1,0,no,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
47,no,145,yes,no,7,157,6,-1,0,no,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
30,no,98,yes,no,7,155,1,-1,0,no,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
28,no,3,yes,no,7,122,5,-1,0,no,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
37,no,374,yes,no,7,944,3,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
33,no,367,yes,yes,7,22,2,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
48,no,720,yes,no,8,177,3,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
29,no,1117,yes,no,8,77,2,-1,0,no,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
28,no,597,yes,no,8,223,2,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
32,no,89,yes,yes,8,308,3,-1,0,no,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
30,no,442,yes,no,8,137,2,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
34,yes,-947,yes,no,8,211,3,-1,0,no,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
36,no,-147,yes,no,8,156,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
36,no,83,yes,no,8,178,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
39,no,125,yes,no,8,142,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
27,no,96,yes,no,8,31,1,-1,0,no,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
42,no,198,yes,no,8,314,1,-1,0,no,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
56,no,177,yes,no,8,1040,1,-1,0,no,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
41,no,-413,yes,no,8,170,2,-1,0,no,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
39,no,419,yes,yes,8,35,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
28,no,134,yes,no,8,262,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
31,no,7444,yes,yes,8,20,1,-1,0,no,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
48,no,177,yes,no,8,471,1,-1,0,no,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
42,no,0,yes,no,8,66,2,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
24,no,620,yes,no,8,144,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
41,no,1773,no,no,8,106,1,-1,0,no,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
34,no,80,yes,yes,8,494,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
40,no,1,yes,no,8,190,1,-1,0,no,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
48,no,4,yes,no,8,198,1,-1,0,no,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
46,no,152,yes,no,8,33,4,-1,0,no,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
32,no,715,yes,no,8,108,2,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
40,no,121,no,no,8,82,1,-1,0,no,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
36,no,250,yes,no,8,149,1,-1,0,no,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
35,no,365,yes,no,8,256,2,-1,0,no,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
31,no,1315,yes,no,8,156,1,-1,0,no,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
36,no,1852,no,no,8,362,1,-1,0,no,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
44,no,36,yes,no,8,712,1,-1,0,no,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
157,no,2261,yes,no,8,1007,1,-1,0,no,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
34,no,177,yes,no,8,500,1,-1,0,no,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
49,no,168,yes,yes,8,513,1,-1,0,yes,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50,no,145,yes,no,8,170,1,-1,0,no,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50,no,389,yes,no,8,110,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
43,no,-77,yes,no,8,468,1,-1,0,no,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
37,no,50,yes,no,8,352,3,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
28,no,120,yes,yes,8,130,3,-1,0,no,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
28,no,785,yes,no,8,442,2,-1,0,yes,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
31,no,28,yes,no,8,101,1,-1,0,no,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
38,no,668,no,no,8,238,1,-1,0,no,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
32,no,3,yes,no,8,161,1,-1,0,no,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
30,no,70,yes,yes,8,461,3,-1,0,no,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
46,no,587,yes,no,8,173,2,-1,0,no,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
